iter	Passed	Remaining
0	137	137549
1	139	69401
2	139	46391
3	140	34873
4	140	27972
5	141	23361
6	141	20084
7	142	17616
8	142	15695
9	143	14165
10	143	12919
11	144	11877
12	144	10996
13	145	10238
14	145	9585
15	146	9011
16	147	8500
17	147	8046
18	148	7641
19	148	7274
20	149	6948
21	149	6656
22	150	6389
23	151	6144
24	151	5911
25	152	5696
26	152	5497
27	153	5311
28	153	5138
29	153	4977
30	154	4829
31	155	4689
32	155	4558
33	156	4433
34	156	4315
35	157	4206
36	157	4102
37	158	4005
38	158	3912
39	159	3823
40	159	3738
41	160	3657
42	160	3581
43	161	3507
44	161	3436
45	162	3368
46	162	3302
47	163	3239
48	163	3179
49	164	3121
50	164	3066
51	165	3013
52	165	2961
53	166	2913
54	166	2867
55	167	2822
56	167	2777
57	168	2735
58	168	2694
59	169	2654
60	169	2614
61	170	2576
62	170	2540
63	171	2505
64	171	2471
65	172	2442
66	173	2414
67	173	2380
68	174	2351
69	174	2322
70	175	2294
71	175	2266
72	176	2239
73	176	2212
74	177	2186
75	177	2160
76	178	2136
77	178	2111
78	179	2090
79	179	2068
80	180	2047
81	180	2026
82	181	2004
83	181	1983
84	182	1961
85	182	1942
86	183	1920
87	183	1902
88	184	1884
89	184	1867
90	185	1849
91	185	1831
92	186	1814
93	186	1799
94	187	1783
95	187	1767
96	188	1752
97	188	1736
98	189	1721
99	189	1706
100	190	1692
101	190	1676
102	190	1662
103	191	1648
104	191	1635
105	192	1622
106	192	1609
107	193	1597
108	193	1584
109	194	1572
110	194	1560
111	195	1549
112	195	1538
113	196	1526
114	196	1515
115	197	1504
116	197	1493
117	198	1483
118	198	1471
119	199	1461
120	199	1450
121	200	1440
122	200	1429
123	201	1420
124	201	1411
125	202	1403
126	202	1394
127	203	1384
128	203	1375
129	204	1367
130	204	1358
131	205	1350
132	205	1341
133	206	1333
134	206	1325
135	207	1317
136	207	1308
137	208	1300
138	208	1292
139	209	1284
140	209	1278
141	210	1270
142	210	1263
143	211	1256
144	211	1250
145	212	1242
146	212	1235
147	213	1228
148	213	1221
149	214	1214
150	214	1208
151	215	1201
152	215	1194
153	216	1188
154	216	1182
155	217	1175
156	217	1169
157	218	1163
158	218	1157
159	219	1150
160	219	1144
161	220	1138
162	220	1133
163	221	1127
164	221	1122
165	222	1116
166	222	1110
167	223	1105
168	223	1099
169	224	1095
170	224	1089
171	225	1084
172	225	1079
173	226	1074
174	226	1069
175	227	1064
176	227	1059
177	228	1054
178	228	1049
179	229	1045
180	229	1039
181	230	1034
182	230	1029
183	231	1025
184	231	1020
185	232	1016
186	232	1011
187	233	1007
188	233	1002
189	234	998
190	234	993
191	235	989
192	235	984
193	235	980
194	236	976
195	236	971
196	237	967
197	237	963
198	238	959
199	238	955
200	239	952
201	240	948
202	240	944
203	241	941
204	241	937
205	242	933
206	242	929
207	243	926
208	243	922
209	244	918
210	244	914
211	245	911
212	245	907
213	246	903
214	246	900
215	247	897
216	248	895
217	248	891
218	249	888
219	249	884
220	249	881
221	250	877
222	250	874
223	251	870
224	251	867
225	252	864
226	252	860
227	253	857
228	253	854
229	254	850
230	254	847
231	255	844
232	255	841
233	256	838
234	256	835
235	257	832
236	257	829
237	258	826
238	258	823
239	259	820
240	259	817
241	260	814
242	260	811
243	260	808
244	261	805
245	261	802
246	262	800
247	262	797
248	263	794
249	263	791
250	264	789
251	264	786
252	265	783
253	265	780
254	266	778
255	266	775
256	267	772
257	267	770
258	268	767
259	268	764
260	269	762
261	269	759
262	270	757
263	270	754
264	271	752
265	272	750
266	272	747
267	272	745
268	273	742
269	273	740
270	274	737
271	274	735
272	275	732
273	275	730
274	276	728
275	276	725
276	277	723
277	277	721
278	278	719
279	278	717
280	279	714
281	279	712
282	280	710
283	280	708
284	281	705
285	281	703
286	282	701
287	282	699
288	283	696
289	283	694
290	284	692
291	284	690
292	285	688
293	285	686
294	286	684
295	286	682
296	287	679
297	287	677
298	288	675
299	288	673
300	289	671
301	289	669
302	290	667
303	290	665
304	290	663
305	291	660
306	291	658
307	292	656
308	293	655
309	293	653
310	294	651
311	294	649
312	295	648
313	295	646
314	296	644
315	296	642
316	297	640
317	297	638
318	298	636
319	298	634
320	299	632
321	299	630
322	300	629
323	300	628
324	301	626
325	302	624
326	302	623
327	303	621
328	304	620
329	304	618
330	305	616
331	305	615
332	306	613
333	307	612
334	307	611
335	308	609
336	309	608
337	309	606
338	310	604
339	310	603
340	311	601
341	311	599
342	312	598
343	312	596
344	313	594
345	313	593
346	314	591
347	315	590
348	315	588
349	316	587
350	316	585
351	317	583
352	317	582
353	318	580
354	318	578
355	319	577
356	319	575
357	320	573
358	320	572
359	320	570
360	321	568
361	321	567
362	322	565
363	322	564
364	323	562
365	323	561
366	324	559
367	324	558
368	325	556
369	325	555
370	326	553
371	326	551
372	327	550
373	327	548
374	328	547
375	328	545
376	329	544
377	329	542
378	330	541
379	330	539
380	331	538
381	331	537
382	332	535
383	333	534
384	333	532
385	334	531
386	334	529
387	335	528
388	335	526
389	335	525
390	336	523
391	336	522
392	337	521
393	338	520
394	338	518
395	339	517
396	339	515
397	340	514
398	340	512
399	341	511
400	341	510
401	341	508
402	342	507
403	342	505
404	343	504
405	343	503
406	344	501
407	344	500
408	345	499
409	345	497
410	346	496
411	346	495
412	347	493
413	347	492
414	348	491
415	348	489
416	349	488
417	349	487
418	350	485
419	350	484
420	351	482
421	351	481
422	352	480
423	352	479
424	353	477
425	353	476
426	354	475
427	354	474
428	355	472
429	355	471
430	356	470
431	356	469
432	357	467
433	357	466
434	358	465
435	358	463
436	359	462
437	359	461
438	360	460
439	360	459
440	361	458
441	361	456
442	362	455
443	362	454
444	363	453
445	363	452
446	364	450
447	364	449
448	365	448
449	365	447
450	366	446
451	366	444
452	367	443
