iter	Passed	Remaining
0	0	828
1	1	704
2	2	668
3	2	640
4	3	630
5	3	629
6	4	632
7	5	637
8	5	633
9	6	619
10	6	618
11	7	618
12	8	609
13	8	605
14	9	602
15	9	597
16	10	601
17	11	600
18	11	602
19	12	601
20	12	596
21	13	593
22	13	589
23	14	588
24	15	586
25	15	583
26	16	582
27	16	579
28	17	578
29	17	577
30	18	574
31	18	574
32	19	575
33	20	572
34	20	569
35	21	568
36	21	569
37	22	566
38	22	563
39	23	561
40	23	558
41	24	557
42	25	556
43	25	556
44	26	556
45	27	562
46	27	562
47	28	562
48	28	562
49	29	561
50	30	561
51	30	560
52	31	558
53	31	560
54	32	559
55	33	559
56	33	562
57	34	562
58	35	561
59	35	560
60	36	558
61	36	557
62	37	556
63	38	555
64	38	554
65	39	553
66	39	551
67	40	551
68	40	549
69	41	549
70	42	550
71	42	549
72	43	548
73	43	547
74	44	546
75	44	545
76	45	545
77	46	544
78	46	543
79	47	542
80	47	542
81	48	542
82	48	538
83	49	540
84	50	540
85	50	540
86	51	539
87	51	538
88	52	537
89	53	536
90	53	535
91	54	534
92	54	533
93	55	532
94	55	531
95	56	531
96	57	531
97	57	530
98	58	530
99	58	529
100	59	528
101	59	528
102	60	527
103	61	526
104	61	524
105	62	523
106	62	521
107	63	520
108	63	520
109	64	519
110	64	518
111	65	517
112	65	515
113	66	514
114	66	513
115	67	511
116	67	509
117	68	508
118	68	507
119	68	505
120	69	504
121	69	502
122	70	501
123	70	501
124	71	500
125	72	499
126	72	498
127	72	496
128	73	496
129	74	496
130	74	495
131	75	495
132	75	493
133	76	492
134	76	491
135	77	490
136	77	489
137	78	489
138	79	489
139	79	489
140	80	488
141	80	486
142	80	485
143	81	484
144	81	483
145	82	482
146	82	481
147	83	480
148	83	479
149	84	478
150	84	477
151	85	476
152	85	476
153	86	475
154	87	474
155	87	473
156	88	473
157	88	472
158	89	471
159	89	470
160	89	468
161	90	467
162	90	466
163	91	466
164	91	465
165	92	464
166	93	464
167	93	464
168	94	463
169	94	462
170	95	461
171	95	460
172	96	459
173	96	458
174	97	457
175	97	456
176	97	455
177	98	454
178	98	453
179	99	452
180	99	451
181	100	451
182	101	451
183	101	450
184	102	449
185	102	448
186	102	447
187	103	446
188	103	445
189	104	445
190	104	444
191	105	443
192	105	442
193	106	441
194	106	441
195	107	440
196	107	439
197	108	439
198	109	438
199	109	438
200	109	437
201	110	436
202	110	435
203	111	434
204	111	434
205	112	433
206	112	432
207	113	431
208	113	430
209	114	429
210	115	431
211	116	431
212	116	431
213	117	430
214	117	429
215	118	428
216	118	427
217	119	427
218	119	426
219	120	425
220	120	424
221	121	424
222	121	423
223	122	422
224	122	422
225	123	421
226	123	421
227	124	420
228	124	420
229	125	419
230	125	418
231	126	418
232	126	417
233	127	416
234	127	415
235	128	415
236	128	414
237	129	414
238	129	413
239	130	414
240	131	414
241	132	413
242	132	412
243	132	412
244	133	411
245	133	410
246	134	409
247	134	409
248	135	408
249	135	407
250	136	407
251	136	406
252	137	405
253	137	405
254	138	404
255	139	404
256	139	404
257	140	403
258	140	403
259	141	402
260	141	401
261	142	401
262	142	400
263	143	399
264	144	399
265	144	398
266	145	398
267	145	398
268	146	397
269	147	397
270	147	396
271	148	396
272	148	395
273	149	394
274	149	394
275	149	393
276	150	392
277	150	392
278	151	391
279	152	390
280	152	390
281	153	391
282	154	390
283	154	389
284	155	389
285	155	388
286	156	388
287	156	387
288	157	386
289	157	386
290	158	385
291	158	384
292	159	384
293	159	383
294	160	383
295	161	383
296	161	382
297	162	382
298	162	381
299	163	380
300	163	380
301	164	379
302	164	378
303	165	378
304	165	377
305	166	377
306	166	376
307	167	375
308	168	376
309	168	375
310	169	374
311	169	374
312	170	373
313	170	372
314	171	372
315	171	371
316	172	370
317	172	370
318	173	369
319	173	368
320	174	368
321	174	367
322	175	367
323	176	367
324	176	367
325	177	366
326	177	366
327	178	365
328	178	364
329	179	364
330	179	363
331	180	362
332	180	362
333	181	361
334	182	361
335	182	361
336	183	360
337	183	360
338	184	359
339	184	358
340	185	358
341	185	357
342	186	357
343	186	356
344	187	356
345	188	355
346	188	355
347	189	354
348	189	353
349	190	353
350	190	353
351	191	352
352	191	351
353	192	351
354	192	350
355	193	349
356	193	349
357	194	348
358	194	348
359	195	347
360	195	346
361	196	346
362	196	345
363	197	345
364	198	344
365	198	344
366	199	343
367	199	343
368	200	342
369	200	342
370	201	341
371	201	340
372	202	340
373	202	339
374	203	338
375	203	338
376	204	337
377	204	337
378	205	336
379	206	336
380	206	335
381	207	334
382	207	334
383	208	333
384	208	333
385	208	332
386	209	331
387	209	331
388	210	330
389	210	329
390	211	329
391	211	328
392	212	328
393	213	327
394	213	327
395	214	326
396	214	326
397	215	325
398	215	324
399	216	324
400	216	323
401	217	323
402	217	322
403	218	321
404	218	321
405	219	320
406	219	320
407	220	319
408	220	319
409	221	318
410	221	318
411	222	317
412	222	316
413	223	316
414	223	315
415	224	315
416	224	314
417	225	313
418	225	313
419	226	312
420	226	311
421	227	311
422	228	311
423	228	310
424	229	310
425	229	309
426	230	308
427	230	308
428	231	307
429	231	307
430	232	306
431	232	305
432	233	305
433	233	304
434	234	304
435	234	303
436	235	303
437	235	302
438	236	302
439	236	301
440	237	300
441	237	300
442	238	299
443	238	299
444	239	298
445	239	297
446	240	297
447	240	296
448	241	296
449	241	295
450	242	295
451	243	294
452	243	294
453	244	293
454	244	292
455	245	292
456	245	291
457	246	291
458	246	290
459	247	290
460	247	289
461	248	288
462	248	288
463	249	287
464	249	287
465	250	286
466	250	286
467	251	285
468	251	285
469	252	284
470	252	284
471	253	283
472	253	282
473	254	282
474	254	281
475	255	281
476	255	280
477	256	279
478	256	279
479	257	278
480	258	278
481	258	278
482	259	277
483	259	276
484	260	276
485	260	275
486	261	275
487	261	274
488	262	273
489	262	273
490	263	272
491	263	272
492	264	271
493	264	271
494	265	270
495	265	270
496	266	269
497	266	269
498	267	268
499	267	267
500	268	267
501	268	266
502	269	266
503	269	265
504	270	265
505	270	264
506	271	263
507	271	263
508	272	262
509	273	262
510	273	261
511	274	261
512	274	260
513	275	260
514	275	259
515	276	259
516	276	258
517	277	257
518	277	257
519	278	256
520	278	256
521	279	255
522	279	255
523	280	254
524	280	254
525	281	253
526	281	252
527	282	252
528	282	251
529	283	251
530	283	250
531	284	250
532	284	249
533	285	249
534	285	248
535	286	247
536	286	247
537	287	246
538	288	246
539	288	245
540	289	245
541	289	244
542	290	244
543	290	243
544	291	243
545	291	242
546	292	241
547	292	241
548	293	240
549	293	240
550	294	239
551	294	239
552	295	238
553	295	238
554	296	237
555	296	237
556	297	236
557	297	235
558	298	235
559	298	234
560	299	234
561	299	233
562	300	233
563	300	232
564	301	231
565	301	231
566	302	230
567	302	230
568	303	229
569	304	229
570	304	228
571	305	228
572	305	227
573	306	227
574	306	226
575	307	225
576	307	225
577	307	224
578	308	224
579	309	223
580	309	223
581	310	222
582	311	222
583	311	222
584	312	222
585	313	221
586	314	221
587	315	220
588	315	220
589	316	219
590	317	219
591	317	219
592	318	218
593	318	218
594	319	217
595	319	216
596	320	216
597	321	215
598	321	215
599	322	214
600	322	214
601	323	213
602	324	213
603	324	213
604	325	212
605	326	212
606	326	211
607	327	211
608	327	210
609	328	209
610	329	209
611	329	208
612	330	208
613	330	207
614	331	207
615	332	206
616	332	206
617	333	206
618	334	205
619	334	205
620	335	204
621	335	204
622	336	203
623	337	203
624	337	202
625	338	202
626	339	201
627	339	201
628	340	200
629	340	200
630	341	199
631	342	199
632	342	198
633	343	198
634	344	197
635	344	197
636	345	196
637	345	196
638	346	195
639	347	195
640	347	194
641	348	194
642	349	193
643	349	193
644	350	192
645	350	192
646	351	191
647	352	191
648	352	190
649	353	190
650	353	189
651	354	189
652	355	188
653	355	188
654	356	187
655	356	187
656	357	186
657	357	186
658	358	185
659	359	185
660	359	184
661	360	183
662	360	183
663	361	183
664	363	183
665	364	182
666	364	182
667	365	181
668	365	181
669	366	180
670	367	180
671	368	179
672	369	179
673	370	179
674	371	178
675	371	178
676	372	177
677	372	177
678	373	176
679	373	175
680	374	175
681	375	174
682	375	174
683	376	173
684	376	173
685	377	172
686	377	172
687	378	171
688	378	171
689	379	170
690	379	169
691	380	169
692	380	168
693	381	168
694	381	167
695	382	167
696	382	166
697	383	165
698	384	165
699	384	164
700	385	164
701	385	163
702	386	163
703	386	162
704	387	161
705	387	161
706	388	160
707	388	160
708	389	159
709	389	159
710	390	158
711	390	157
712	391	157
713	391	156
714	392	156
715	392	155
716	393	155
717	393	154
718	394	154
719	394	153
720	395	153
721	395	152
722	396	151
723	396	151
724	397	150
725	397	150
726	398	149
727	399	149
728	399	148
729	400	148
730	401	147
731	401	147
732	402	146
733	402	145
734	403	145
735	403	144
736	404	144
737	404	143
738	405	143
739	405	142
740	406	142
741	407	141
742	407	141
743	408	140
744	408	139
745	409	139
746	409	138
747	410	138
748	411	137
749	411	137
750	412	136
751	412	136
752	413	135
753	414	135
754	415	134
755	415	134
756	416	133
757	416	133
758	417	132
759	417	131
760	418	131
761	418	130
762	419	130
763	419	129
764	420	129
765	421	128
766	421	128
767	422	127
768	423	127
769	423	126
770	424	125
771	424	125
772	425	124
773	425	124
774	426	123
775	426	123
776	427	122
777	427	121
778	428	121
779	428	120
780	429	120
781	429	119
782	430	119
783	430	118
784	431	118
785	431	117
786	432	117
787	432	116
788	433	115
789	433	115
790	434	114
791	434	114
792	435	113
793	436	113
794	436	112
795	437	112
796	438	111
797	438	111
798	439	110
799	439	109
800	439	109
801	440	108
802	440	108
803	441	107
804	441	107
805	442	106
806	442	105
807	443	105
808	444	104
809	444	104
810	445	103
811	445	103
812	446	102
813	446	102
814	447	101
815	447	100
816	448	100
817	448	99
818	449	99
819	449	98
820	450	98
821	450	97
822	451	97
823	452	96
824	452	96
825	453	95
826	453	94
827	454	94
828	454	93
829	455	93
830	455	92
831	456	92
832	457	91
833	457	91
834	458	90
835	458	90
836	459	89
837	459	88
838	460	88
839	461	87
840	461	87
841	462	86
842	462	86
843	463	85
844	463	85
845	464	84
846	464	83
847	465	83
848	465	82
849	466	82
850	466	81
851	467	81
852	467	80
853	468	80
854	468	79
855	469	78
856	469	78
857	470	77
858	470	77
859	471	76
860	471	76
861	472	75
862	472	75
863	473	74
864	474	73
865	474	73
866	475	72
867	475	72
868	476	71
869	476	71
870	477	70
871	477	70
872	478	69
873	478	69
874	479	68
875	480	67
876	480	67
877	481	66
878	481	66
879	482	65
880	483	65
881	483	64
882	484	64
883	484	63
884	485	63
885	485	62
886	486	61
887	486	61
888	487	60
889	488	60
890	488	59
891	489	59
892	489	58
893	490	58
894	491	57
895	491	57
896	492	56
897	492	55
898	493	55
899	494	54
900	494	54
901	495	53
902	495	53
903	496	52
904	497	52
905	497	51
906	498	51
907	498	50
908	499	49
909	499	49
910	500	48
911	501	48
912	501	47
913	502	47
914	502	46
915	503	46
916	503	45
917	504	45
918	504	44
919	505	43
920	505	43
921	506	42
922	506	42
923	507	41
924	507	41
925	508	40
926	509	40
927	509	39
928	510	38
929	510	38
930	511	37
931	511	37
932	512	36
933	513	36
934	513	35
935	514	35
936	514	34
937	515	34
938	515	33
939	516	32
940	516	32
941	517	31
942	517	31
943	518	30
944	518	30
945	519	29
946	520	29
947	520	28
948	521	28
949	521	27
950	522	26
951	522	26
952	523	25
953	523	25
954	524	24
955	524	24
956	524	23
957	525	23
958	526	22
959	526	21
960	527	21
961	528	20
962	528	20
963	529	19
964	529	19
965	530	18
966	530	18
967	531	17
968	531	17
969	532	16
970	532	15
971	533	15
972	533	14
973	534	14
974	535	13
975	535	13
976	536	12
977	536	12
978	537	11
979	537	10
980	538	10
981	538	9
982	539	9
983	539	8
984	540	8
985	540	7
986	541	7
987	542	6
988	542	6
989	543	5
990	543	4
991	544	4
992	544	3
993	545	3
994	546	2
995	546	2
996	547	1
997	547	1
998	548	0
999	548	0
